  71 RST=0 LOAD=0 EN=1 UP=0 DIN=51 | CNT=35 exp=35              
  72 RST=0 LOAD=0 EN=1 UP=1 DIN=13 | CNT=34 exp=34              
  73 RST=0 LOAD=0 EN=1 UP=0 DIN= 2 | CNT=35 exp=35              
  74 RST=0 LOAD=0 EN=1 UP=0 DIN=55 | CNT=34 exp=34              
  75 RST=0 LOAD=0 EN=0 UP=0 DIN=41 | CNT=33 exp=33              
  76 RST=0 LOAD=1 EN=0 UP=0 DIN=33 | CNT=33 exp=33              
  77 RST=0 LOAD=0 EN=1 UP=0 DIN=15 | CNT=33 exp=33              
  78 RST=0 LOAD=1 EN=0 UP=0 DIN=52 | CNT=32 exp=32              
  79 RST=0 LOAD=1 EN=0 UP=1 DIN= 3 | CNT=52 exp=52              
  80 RST=0 LOAD=0 EN=0 UP=0 DIN=18 | CNT= 3 exp= 3              
  81 RST=0 LOAD=0 EN=0 UP=1 DIN=18 | CNT= 3 exp= 3              
  82 RST=0 LOAD=0 EN=1 UP=0 DIN=18 | CNT= 3 exp= 3              
  83 RST=0 LOAD=0 EN=0 UP=0 DIN=33 | CNT= 2 exp= 2              
  84 RST=0 LOAD=0 EN=1 UP=0 DIN=52 | CNT= 2 exp= 2              
  85 RST=1 LOAD=0 EN=1 UP=1 DIN= 2 | CNT= 1 exp= 1              
  86 RST=0 LOAD=0 EN=0 UP=0 DIN=28 | CNT= 0 exp= 0              
  87 RST=0 LOAD=0 EN=1 UP=1 DIN=17 | CNT= 0 exp= 0              
  88 RST=0 LOAD=0 EN=0 UP=1 DIN= 9 | CNT= 1 exp= 1              
  89 RST=1 LOAD=0 EN=0 UP=1 DIN= 6 | CNT= 1 exp= 1              
  90 RST=0 LOAD=0 EN=0 UP=1 DIN=13 | CNT= 0 exp= 0              
  91 RST=0 LOAD=0 EN=0 UP=0 DIN=19 | CNT= 0 exp= 0              
  92 RST=0 LOAD=0 EN=0 UP=1 DIN= 5 | CNT= 0 exp= 0              
  93 RST=0 LOAD=0 EN=1 UP=1 DIN=53 | CNT= 0 exp= 0              
  94 RST=0 LOAD=1 EN=1 UP=0 DIN=17 | CNT= 1 exp= 1              
  95 RST=0 LOAD=0 EN=1 UP=0 DIN=21 | CNT=17 exp=17              
  96 RST=0 LOAD=1 EN=1 UP=1 DIN=11 | CNT=16 exp=16              
  97 RST=1 LOAD=0 EN=1 UP=1 DIN=22 | CNT=11 exp=11              
